id,nom,arrondissement,adresse,date_creation,date_revision,longitude,latitude
"10463","Jardin communautaire du parc Alexis-Nihon","Saint-Laurent","2999, rue Badeaux, Montréal, QC, CA","2021-01-27T17:54:04-0500","2024-10-30T14:08:40-0400",-73.691113399051,45.497183200557
"10172","Jardin communautaire du parc André Laurendeau","Anjou","8361, avenue André-Laurendeau, Montréal, QC, CA","2021-01-19T09:17:30-0500","2023-08-30T09:59:34-0400",-73.569942158347,45.603847774619
"10269","Jardin communautaire du parc Angrignon","Le Sud-Ouest","Boulevard des Trinitaires et rue Lacroix, Montréal, QC, CA","2021-01-21T14:03:09-0500","2024-06-26T16:07:14-0400",-73.600672837347,45.445031526812
"10263","Jardin communautaire du parc Baldwin","Le Plateau-Mont-Royal","Rue Fullum, Montréal, QC, CA, H2H2S3","2021-01-21T13:29:46-0500","2024-05-10T11:07:31-0400",-73.564151160741,45.534968142637
"10474","Jardin communautaire du parc Bourbonnière","Saint-Laurent","2800, rue Cazeneuve, Montréal, QC, CA, H4R1T9","2021-01-28T11:07:10-0500","2024-10-30T14:11:40-0400",-73.702062260352,45.502355064987
"10175","Jardin communautaire du parc de Spalding","Anjou","7901, avenue Spalding, Montréal, QC, CA","2021-01-19T10:01:08-0500","2024-05-09T09:13:01-0400",-73.55231484245,45.602950024347
"10174","Jardin communautaire du parc des Roseraies","Anjou","7070, avenue de la Nantaise, Montréal, QC, CA","2021-01-19T09:46:22-0500","2024-05-09T09:10:41-0400",-73.555226376644,45.594490949202
"46006","Jardin communautaire du parc Desmarchais","Verdun","5300, boulevard LaSalle, Verdun, QC, CA, H4H1P2","2023-03-21T10:18:07-0400","2024-07-31T09:28:25-0400",-73.56665222327838,45.453690416355954
"10429","Jardin communautaire du parc du Père-Marquette","Rosemont–La Petite-Patrie","Rue de Bellechasse, Montréal, QC, CA, H2G1N6","2021-01-27T11:18:17-0500","2023-05-10T12:02:48-0400",-73.595949260837,45.539936830885
"10335","Jardin communautaire du parc Dupéré","Mercier–Hochelaga-Maisonneuve","Rue Saint-Donat et rue de Forbin-Janson, Montréal, QC, CA, H1K3N6","2021-01-22T16:28:12-0500","2024-05-01T08:57:42-0400",-73.533988480748,45.601220646301
"10465","Jardin communautaire du parc Hartenstein","Saint-Laurent","1505, rue Cardinal, Montréal, QC, CA","2021-01-28T10:05:18-0500","2024-10-30T14:14:26-0400",-73.691763009762,45.519565285669
"10173","Jardin communautaire du parc Lucie-Bruneau","Anjou","7051, avenue de l'Alsace, Montréal, QC, CA","2021-01-19T09:34:15-0500","2024-05-09T09:11:47-0400",-73.58268957484,45.60381723836
"10505","Jardin communautaire du parc Lucien-Caron","Verdun","3751, Boulevard Gaetan Laberge, Montréal, QC, CA","2021-01-28T12:41:27-0500","2024-07-31T09:20:06-0400",-73.562768471329,45.46602972085
